"1 _ 1",,
"時間","試験力","ストローク"
"sec","kN","mm"
"163.6","5.843862","2.726104"
"163.8","5.846143","2.729417"
"164","5.849266","2.732792"
"164.2","5.852636","2.736146"
"164.4","5.855068","2.739458"
"164.6","5.857817","2.742792"
"164.8","5.860575","2.746104"
"165","5.862752","2.749438"
"165.2","5.865749","2.752771"
"165.4","5.869555","2.756146"
"165.6","5.872107","2.759458"
"165.8","5.874292","2.762812"
"166","5.87736","2.766146"
"166.2","5.879331","2.769438"
"166.4","5.882064","2.772771"
"166.6","5.885323","2.776125"
"166.8","5.888422","2.779458"
"167","5.890957","2.782792"
"167.2","5.893803","2.786125"
"167.4","5.895686","2.789438"
"167.6","5.898301","2.79275"
"167.8","5.901766","2.796125"
"168","5.90477","2.799479"
"168.2","5.907178","2.802792"
"168.4","5.909546","2.806125"
"168.6","5.91205","2.809458"
"168.8","5.914521","2.812771"
"169","5.917819","2.816125"
"169.2","5.920831","2.819458"
"169.4","5.923358","2.822792"
"169.6","5.926228","2.826125"
"169.8","5.928898","2.829458"
"170","5.930583","2.83275"
"170.2","5.933356","2.836104"
"170.4","5.937306","2.839479"
"170.6","5.940095","2.842792"
"170.8","5.942416","2.846125"
"171","5.945285","2.849458"
"171.2","5.947701","2.852771"
"171.4","5.950443","2.856104"
"171.6","5.953463","2.859458"
"171.8","5.956706","2.862813"
"172","5.958962","2.866125"
"172.2","5.961291","2.869458"
"172.4","5.963508","2.872771"
"172.6","5.965742","2.876083"
"172.8","5.969063","2.879458"
